index,state,year,gas_consumption (BBtu),coal_consumption (BBtu),renewable_consumption (BBtu),petroleum_consumption (BBtu),nuclear_consumption (BBtu),expenditures (M dollars),price (dollars per MBtu)
238,NH,2005,72934.0,44169.0,42485.0,190420.0,98682.0,4602.9,18.46
239,NJ,2005,625429.0,125332.0,29321.0,1225835.0,327604.0,30945.9,16.31
240,NM,2005,225352.0,317916.0,23591.0,254624.0,0.0,6403.3,16.54
241,NV,2005,236007.0,197799.0,38191.0,275627.0,0.0,8493.0,18.01
242,NY,2005,1107206.0,256879.0,374254.0,1807239.0,442937.0,56292.0,19.01
243,OH,2005,860874.0,1481045.0,73750.0,1280172.0,154481.0,41386.2,15.39
244,OK,2005,600011.0,397379.0,65251.0,557797.0,0.0,14247.8,14.83
245,OR,2005,239539.0,35624.0,368234.0,374572.0,0.0,10720.1,15.26
246,PA,2005,719117.0,1490836.0,109625.0,1498536.0,796157.0,42406.8,15.66
247,RI,2005,82460.0,76.0,1923.0,97180.0,0.0,3098.9,19.02
248,SC,2005,178308.0,431086.0,105466.0,547413.0,554544.0,15556.8,14.93
249,SD,2005,42848.0,36952.0,61504.0,118214.0,0.0,2910.6,15.18
250,TN,2005,238400.0,657711.0,174097.0,782703.0,290153.0,21504.0,14.65
251,TX,2005,3621139.0,1627863.0,140202.0,5987815.0,398994.0,118064.4,14.72
252,UT,2005,168770.0,405546.0,15773.0,287599.0,0.0,6980.2,13.73
253,VA,2005,311537.0,458452.0,132464.0,998762.0,291357.0,25908.1,14.98
254,VT,2005,8396.0,25.0,24499.0,90539.0,42491.0,2296.9,18.66
255,WA,2005,272167.0,112284.0,815363.0,768653.0,86016.0,18344.0,14.99
256,WI,2005,415583.0,522521.0,145127.0,596603.0,103535.0,19225.8,15.08
257,WV,2005,124984.0,959657.0,28742.0,231304.0,0.0,6390.2,13.24
258,WY,2005,112863.0,490940.0,19291.0,155289.0,0.0,3610.7,12.94
259,US,2005,22567132.0,22793450.0,6231821.0,40227276.0,8160810.0,1045730.4,15.57
260,AK,2006,375719.0,14981.0,13481.0,342272.0,0.0,6118.4,16.61
261,AL,2006,402044.0,886678.0,266931.0,611265.0,332992.0,20165.3,14.96
262,AR,2006,240885.0,256907.0,100633.0,358679.0,158952.0,11450.5,15.78
263,AZ,2006,365230.0,431985.0,95745.0,582623.0,250568.0,18868.5,19.7
264,CA,2006,2375929.0,67017.0,897576.0,3786528.0,333488.0,115739.4,19.4
