state,year,gas_generation,gas_consumption,coal_generation,coal_consumption,oil_generation,oil_consumption,nuclear_generation,nuclear_consumption,non_renewable_gen,non_renewable_consumption,renewable_generation,renewable_consumption,expenditures (M dollars),price (dollars per MBtu),all_generation,all_consumption
US,2004,21549505,22927283,22821746,22464302,11550085,40148362,8222774,8222774,64144110,93762721,6062543,6074599,871210.2,12.9,70206653,99837320
AK,2005,548394,434704,22682,13994,1829245,333091,0,0,2400321,781789,15866,15930,5215.8,13.99,2416187,797719
AL,2005,327318,363398,518423,890098,45594,606840,330761,330761,1222096,2191097,279600,279983,18088.3,13.56,1501696,2471080
AR,2005,193576,216600,67,247169,35815,358312,142864,142864,372322,964945,112661,112738,10416.1,14.46,484983,1077683
AZ,2005,239,329302,263426,428445,290,573763,269327,269327,533282,1600837,78333,92285,16665.8,17.87,611615,1693122
CA,2005,354384,2304463,0,67422,1335334,3741092,377313,377313,2067031,6490290,741338,819440,103574.2,17.46,2808369,7309730
CO,2005,1219801,478520,857038,386670,134717,489645,0,0,2211556,1354835,32983,35558,14654.8,15.15,2244539,1390393
CT,2005,0,171150,0,42023,0,443947,162406,162406,162406,819526,25727,29171,12423.7,19.62,188133,848697
DC,2005,0,33753,0,939,0,28656,0,0,0,63348,47,263,2013,20.08,47,63611
DE,2005,0,48639,0,56716,0,135389,0,0,0,240744,954,1886,2937.2,16.48,954,242630
FL,2005,3637,805446,0,672309,14993,2130793,300127,300127,318757,3908675,184304,187675,49999,17.97,503061,4096350
GA,2005,0,427825,0,901010,0,1120350,329092,329092,329092,2778277,216430,218423,32370.7,15.29,545522,2996700
HI,2005,0,195,0,16506,0,293847,0,0,0,310548,12935,14186,4996.9,21.39,12935,324734
IA,2005,0,210742,0,429777,0,428465,47362,47362,47362,1116346,215149,124866,12256.1,14.3,262511,1241212
ID,2005,0,78118,0,11286,0,159726,0,0,0,249130,121084,122267,4531.4,13.65,121084,371397
IL,2005,234,972710,727433,1047532,59201,1403414,973293,973293,1760161,4396949,138337,109784,41443.4,14.75,1898498,4506733
IN,2005,3191,535512,768995,1594399,10017,859731,0,0,782203,2989642,58589,63826,25074.3,12.6,840792,3053468
KS,2005,432051,258695,3955,379823,194996,341906,92055,92055,723057,1072479,31101,22986,9303.3,14.9,754158,1095465
KY,2005,97907,240853,2973897,986263,14703,697645,0,0,3086507,1924761,67438,74724,16633.5,13.57,3153945,1999485
LA,2005,1514680,1367497,61534,253518,436154,1975571,163598,163598,2175966,3760184,151309,151854,35459.1,13.13,2327275,3912038
MA,2005,0,386339,0,119333,0,737337,57138,57138,57138,1300147,40795,46953,21568.6,19.51,97933,1347100
MD,2005,48,211830,126671,329304,0,603981,153443,153443,280162,1298558,43642,48562,17428.9,16.83,323804,1347120
ME,2005,0,64818,0,7059,0,263938,0,0,0,335815,159674,160078,5619.3,14.89,159674,495893
MI,2005,270311,927535,0,799463,33257,978894,343048,343048,646616,3048940,116821,130906,32127.3,14.53,763437,3179846
MN,2005,0,372082,0,379114,0,700917,133948,133948,133948,1586061,142459,123801,18259.1,14.45,276407,1709862
MO,2005,0,273386,12954,835663,499,741961,83807,83807,97260,1934817,52554,54637,19679,15.12,149814,1989454
MS,2005,77573,310713,36231,176286,102631,455899,105172,105172,321607,1048070,62678,62951,11395.5,15.37,384285,1111021
MT,2005,114001,71089,726845,199495,190165,182921,0,0,1031011,453505,113989,114898,4036.5,14.89,1145000,568403
NC,2005,0,237525,0,811939,0,947056,417249,417249,417249,2413769,145275,147480,27966.3,16.51,562524,2561249
