state,year,gas_generation,gas_consumption,coal_generation,coal_consumption,oil_generation,oil_consumption,nuclear_generation,nuclear_consumption,renewable_generation,renewable_consumption,expenditures (M dollars),price (dollars per MBtu)
CO,2004,1149273,440720,889060,390186,130686,490984,0,0,22469,29099,11807.9,12.48
CT,2004,0,165862,0,43997,0,451366,172470,172470,30189,42965,10599.9,15.94
DC,2004,0,33097,0,741,0,30534,0,0,942,943,1714.9,16.74
DE,2004,0,49722,0,53599,0,127465,0,0,1435,1436,2439.8,14.01
FL,2004,4374,757672,0,699055,16843,2095087,325516,325516,179754,179495,41130.8,15.21
GA,2004,0,406436,0,834991,0,1079645,351921,351921,226890,226761,25535.2,12.42
HI,2004,0,155,0,17913,0,282864,0,0,13768,13786,4024.6,17.73
IA,2004,0,198017,0,443221,0,414787,51399,51399,174335,111271,10009.4,11.9
ID,2004,0,78273,0,12336,0,156496,0,0,112379,112080,3740.4,11.68
IL,2004,242,955972,722774,1069538,63707,1285139,959869,959869,154365,126588,33593.6,12.47
IN,2004,3432,526391,786209,1614210,10179,865025,0,0,54883,58085,20730.1,10.19
KS,2004,456781,260117,1665,385498,196498,412120,105664,105664,28341,19571,8795.6,12.56
KY,2004,100915,233361,2845496,961759,14778,703989,0,0,69142,71188,13524,11.08
LA,2004,1609900,1393140,51659,256716,482978,2065896,178110,178110,185640,189772,28745.7,10.12
MA,2004,0,383625,0,105075,0,736401,61928,61928,51070,51781,17815.8,16.33
MD,2004,35,201801,129130,327239,0,590242,152043,152043,53425,53460,14113.4,13.87
ME,2004,0,89581,0,7336,0,260353,0,0,136769,136776,4655.4,12.55
MI,2004,271801,938628,0,773825,34516,979694,318700,318700,108765,118153,26772.5,12.14
MN,2004,0,362346,0,378775,0,688025,138645,138645,125527,114862,15167.2,12.14
MO,2004,0,268289,12385,807466,510,744126,81658,81658,40841,44121,16239.4,12.71
MS,2004,87181,290512,36619,184992,111604,480422,106707,106707,61251,61297,9494.9,12.56
MT,2004,100261,68567,721570,195620,143364,176136,0,0,101507,101639,3173,12.37
NC,2004,0,232214,0,782692,0,930984,418065,418065,139795,147627,23221.1,13.92
ND,2004,68399,56410,392966,398381,180682,133016,0,0,25922,24137,2537.8,8.77
NE,2004,1489,116006,0,223624,14535,233553,106796,106796,91627,52142,5404.9,12.21
