state,year,gas_generation,gas_consumption,coal_generation,coal_consumption,oil_generation,oil_consumption,nuclear_generation,nuclear_consumption,renewable_generation,renewable_consumption,expenditures (M dollars),price (dollars per MBtu)
ID,2019,1139,133257,0,2364,125,183278,0,0,169161,171550,6748.5,17.12
IL,2019,2279,1180447,1014448,591909,46969,1239327,1030996,1030996,372639,293917,42478.1,16
IN,2019,5306,934151,712235,821545,8997,710201,0,0,257208,187427,28789.8,15.37
KS,2019,212665,319950,0,197779,189208,352445,96565,96565,273904,239094,12004.6,17.31
KY,2019,89339,361174,852990,574502,14273,595296,0,0,89266,101676,18821,17.36
LA,2019,3330380,1963925,21251,90701,261401,1736963,145993,145993,166791,150526,29899.9,10.64
MA,2019,0,442794,0,71,0,572180,22734,22734,74162,99536,25788.1,23.51
MD,2019,14,311631,34661,77301,0,474069,156765,156765,55532,79877,19482.1,21.44
ME,2019,0,46301,0,2160,0,166761,0,0,148418,154606,5874.4,19.27
MI,2019,90423,1054986,0,447823,29738,882063,343639,343639,233639,244587,34773.9,16.89
MN,2019,0,549487,0,205139,0,640082,147280,147280,366083,298551,21981.8,16.59
MO,2019,1,327798,4227,584662,484,622101,95961,95961,140320,121475,22482.1,18.76
MS,2019,34280,583800,28423,51028,96171,383081,115202,115202,66399,70136,12526.6,17.35
MT,2019,47967,92649,608890,159165,131037,175168,0,0,129142,133863,5016.8,17.99
NC,2019,0,569405,0,318154,0,905845,437683,437683,253934,275441,34227.1,19.56
ND,2019,1187235,157419,361946,372018,2949809,188349,0,0,211309,164419,6006.9,14.67
NE,2019,411,198771,0,240414,10883,242788,72589,72589,371883,203880,8895.7,16.03
NH,2019,0,55366,0,4182,0,152435,113890,113890,56006,62394,5545.5,23.52
NJ,2019,0,790685,0,13780,0,842885,278147,278147,49338,84994,30396.5,19.88
NM,2019,2068295,305538,268307,151468,1917576,262605,0,0,94009,105040,7969.9,18.49
NV,2019,5,315564,0,37177,1527,306466,0,0,113257,125022,11090.5,19.72
NY,2019,11313,1337750,0,13648,1561,1386269,468481,468481,451961,498124,58489.7,20.16
OH,2019,2901090,1260474,192413,594257,157179,1070162,177624,177624,174068,160334,41907.9,16.96
OK,2019,3545508,873688,5153,93953,1243885,524240,0,0,332122,347056,16164.2,15.54
OR,2019,420,302229,0,27430,0,334509,0,0,426159,445620,14108.6,19.87
PA,2019,7296205,1679486,1250902,568781,37362,1134520,869084,869084,201736,234570,45768.8,18.32
RI,2019,0,97931,0,0,0,77313,0,0,8794,11832,3640.1,24.3
SC,2019,0,347904,0,160703,0,515839,585828,585828,149819,166366,19712.4,18.84
SD,2019,450,97428,0,31420,6644,116179,0,0,264610,169269,4163.8,16.63
TN,2019,3221,420285,11341,216876,1202,713625,372992,372992,180964,191569,25954.4,18.3
TX,2019,11323138,4795216,308449,992721,10622707,6850186,431234,431234,963037,1071087,137852.3,14.08
UT,2019,299544,276460,326024,266989,210444,305584,0,0,48197,60089,10037.6,17.46
VA,2019,111869,717725,320290,85120,34,872814,308013,308013,142634,169910,31211.7,18.5
VT,2019,0,14381,0,0,0,77367,0,0,40984,43772,2735.5,22.16
WA,2019,0,378216,0,80837,0,794537,92584,92584,784509,797587,25807.5,19.09
WI,2019,0,592529,0,280108,0,547523,104736,104736,232422,202897,21968.6,16.89
WV,2019,2598072,239854,2422224,621722,98325,208371,0,0,41952,49681,8025.3,17.83
WY,2019,1684374,172235,4828513,410221,582375,155232,0,0,63605,57094,4694.7,14.93
US,2019,41658796,32236174,14290746,11314925,25612476,36867235,8451852,8451852,11627316,11468314,1223984.5,17.96
AK,2020,376458,373567,15523,18527,932482,222323,0,0,24662,25527,4711.9,17.2
AL,2020,124850,714871,313282,256687,24437,525878,454930,454930,288430,308209,18583.2,14.85
AR,2020,489958,335441,0,161980,23578,315440,157349,157349,111501,118123,10368.4,14.79
AZ,2020,68,513539,0,156821,28,544270,329597,329597,151940,177618,20346.4,21.24
CA,2020,192147,2151068,0,28034,809380,2688622,169838,169838,1027627,1244897,114531.6,23.65
CO,2020,2424701,552271,210494,217082,976775,437992,0,0,186014,194190,15470.4,16.47
CT,2020,0,297582,0,67,0,262428,164157,164157,37378,46777,11537.1,23.11
DC,2020,0,27984,0,0,0,15492,0,0,2146,3024,1763.1,22.55
DE,2020,0,94009,0,1956,0,104587,0,0,3570,7722,3153.6,18.42
FL,2020,1039,1619429,0,180387,8468,1484594,307315,307315,258072,316100,51460.8,19.25
GA,2020,0,779340,0,153179,0,875240,342897,342897,313139,328340,31038.7,16.53
HI,2020,0,199,0,13281,0,187858,0,0,27938,31467,4695.2,30.08
IA,2020,0,396343,0,183017,0,404169,30344,30344,899796,556341,12831.4,12.66
ID,2020,112,129363,0,2663,6,175803,0,0,151522,157879,5949.5,15.46
IL,2020,1951,1158640,689464,391150,40691,1056447,1047170,1047170,381142,297310,34108.8,14.44
IN,2020,4419,873505,450768,669310,7979,652153,0,0,246927,182401,24272.9,14.16
KS,2020,189060,301392,0,193779,160833,334609,110545,110545,299402,260617,10261.2,15.46
KY,2020,81742,343788,571089,482266,12890,540200,0,0,90287,100789,15413.1,15.48
LA,2020,3311944,1924573,9438,48718,208843,1773653,177055,177055,167652,144854,24257.1,8.45
MA,2020,0,400675,0,0,0,449040,0,0,73906,94678,20897.7,22.42
MD,2020,10,296585,27404,49692,0,397572,157531,157531,47200,66952,15950.4,19.98
ME,2020,0,47028,0,1657,0,157444,0,0,132891,138648,4886,17.24
MI,2020,69860,1003430,0,334428,23515,756310,316854,316854,224930,235184,29078.9,15.98
MN,2020,0,496026,0,162702,0,545473,153319,153319,351874,286430,17641.3,15.25
MO,2020,1,303949,3432,551341,353,576090,80874,80874,139952,117585,18885.1,16.89
MS,2020,28956,610312,26576,54188,80619,369614,67595,67595,64331,68741,10583,15.25
MT,2020,42375,87478,469076,98886,108613,174592,0,0,137846,142312,4408.2,16.18
NC,2020,0,557570,0,223906,0,807695,442166,442166,281029,293174,28743.1,17.77
ND,2020,1212561,150166,364262,363255,2467413,163767,0,0,228319,176757,4834.7,12.51
NE,2020,375,192725,0,213747,9527,228175,64646,64646,342226,202857,7637,14.25
NH,2020,0,53630,0,1518,0,136963,103052,103052,45685,51219,4622.2,21.48
NJ,2020,0,678931,0,12144,0,686425,279308,279308,51848,80762,24820.9,18.69
NM,2020,2279119,292036,191349,138968,2136510,237384,0,0,96377,106513,6778.6,16.92
NV,2020,12,310715,0,27778,1115,245204,0,0,115194,125514,8774.8,17.93
NY,2020,10012,1305282,0,5681,837,1066114,401441,401441,425899,468231,47971.5,19.41
OH,2020,2612144,1233412,88255,556769,135810,982394,190316,190316,161047,151400,34985.2,15.29
OK,2020,3245209,847555,16,70714,985778,474552,0,0,323543,337045,13116.7,13.46
OR,2020,337,282518,0,17811,0,300473,0,0,453244,473155,12070.6,18.06
PA,2020,7564271,1783003,908798,374254,31483,949953,799342,799342,189068,217902,37536.6,17.08
RI,2020,0,100985,0,0,0,68314,0,0,11414,13926,3140.3,23.05
SC,2020,0,343349,0,137280,0,465872,571930,571930,160663,173989,16668.2,17.14
SD,2020,439,91244,0,21692,5958,119687,0,0,261926,171078,3715.9,14.91
TN,2020,2866,398610,2377,176104,865,657467,383245,383245,201950,211994,21402.6,16.15
TX,2020,11464477,4718367,262510,872845,10090428,6187966,432869,432869,1058610,1149538,108367.3,11.94
UT,2020,265990,266595,296168,244280,176427,285122,0,0,50801,61965,8707.7,15.89
VA,2020,107908,748377,251899,75434,28,739500,314843,314843,147175,170439,25579.5,16.69
VT,2020,0,13589,0,0,0,70379,0,0,37454,39823,2325.4,20.51
WA,2020,0,354969,0,59443,0,621358,98475,98475,876201,884394,19941.1,17.58
WI,2020,0,571817,0,249316,0,493092,102071,102071,200885,183061,18492.5,15.48
WV,2020,3123406,265123,1748361,539707,108465,179259,0,0,41409,48020,6734.4,16.48
WY,2020,1490323,169076,3822600,388253,506818,138481,0,0,74598,68407,3871.5,13.58
US,2020,41632937,31562036,10723138,9182696,23573693,32333489,8251075,8251075,11682720,11518077,1007785.4,16.25
AK,2021,391866,384560,15838,18694,908255,256041,0,0,24042,24907,6395.4,20.42
AL,2021,115131,739546,238021,309791,24404,580020,480897,480897,281006,303213,24223.6,17.84
AR,2021,457456,360504,0,216123,23961,329239,141603,141603,112447,114123,13615.5,18.43
AZ,2021,237,484962,0,160299,34,606053,330406,330406,168977,197117,25548.6,25.06
CA,2021,160821,2172757,0,28244,765942,2969515,172123,172123,1053602,1334148,150204.2,28.43
CO,2021,2300856,526513,247898,252442,872977,489206,0,0,208074,216066,20474.2,20.61
CT,2021,0,306843,0,2880,0,287268,179844,179844,41796,51792,13730.1,25.85
DC,2021,0,28336,0,0,0,17525,0,0,2425,3358,2085.6,25.68
DE,2021,0,87778,0,4542,0,113210,0,0,3679,8136,3888,21.48
FL,2021,1177,1591156,0,200193,8478,1750506,293097,293097,287667,353523,66763.4,22.52
GA,2021,0,773889,0,203870,0,922614,354662,354662,316389,332568,38649.9,19.77
HI,2021,0,133,0,12566,0,222977,0,0,31415,35105,6346.8,32.69
IA,2021,0,383424,0,264419,0,411463,0,0,958793,599196,16773.2,16.41
ID,2021,1387,135178,0,3051,142,188712,0,0,139389,145902,7725.1,19.29
IL,2021,2245,1082481,800378,521615,40154,1140285,1013204,1013204,418469,335451,45112.9,18.38
IN,2021,4291,870075,440100,753557,8666,714790,0,0,289093,212543,31140.4,17.11
KS,2021,178222,292156,0,219031,158779,338260,89572,89572,316241,276717,12668.1,19.05
KY,2021,86378,365718,623427,548443,14020,585943,0,0,90551,102456,20477.7,19.24
LA,2021,3539624,1861540,4237,95856,197551,1840317,180180,180180,183666,144874,36273.4,12.46
MA,2021,0,404324,0,0,0,502317,0,0,80220,103215,25412,25.72
MD,2021,5,302243,30088,69186,0,433109,156623,156623,51493,73820,19827.3,23.58
ME,2021,0,57233,0,1588,0,164149,0,0,126936,133128,6031.7,21.03
MI,2021,77669,950120,0,436203,24689,816074,358698,358698,236004,247406,36781.8,19.37
MN,2021,0,523812,0,179055,0,567228,147526,147526,372690,297813,22679.7,18.75
MO,2021,0,293874,939,616413,341,609448,44839,44839,164512,144808,23826.5,20.46
MS,2021,28373,576923,33251,64446,76439,385435,122971,122971,63750,68941,13633.2,18.94
MT,2021,42842,86998,511753,122765,108076,176856,0,0,130110,134741,5626.3,20.51
NC,2021,0,637553,0,222501,0,884691,450408,450408,275963,288212,36319.7,20.98
ND,2021,1386928,190784,362308,361811,2305178,169566,0,0,255260,185516,6175.1,15.68
NE,2021,348,191008,0,216298,9707,237542,71875,71875,375590,217397,9665.8,17.53
NH,2021,0,60116,0,3259,0,141670,102957,102957,44756,50415,5660.4,25.65
NJ,2021,0,697019,0,12586,0,750887,293972,293972,53898,85852,30993.9,21.8
NM,2021,2603003,284989,172666,133228,2601468,262264,0,0,127798,138630,9172.2,21.38
NV,2021,4,305212,0,35910,1240,284865,0,0,128422,139948,11275.6,21.11
NY,2021,10019,1361190,0,5370,836,1209837,325671,325671,424564,473907,59524.8,22.52
OH,2021,2508664,1293129,68008,575920,106335,1029340,182628,182628,176348,165301,44522,18.49
OK,2021,3020469,745038,11,131695,813966,519226,0,0,352449,367146,17859.2,17.51
OR,2021,216,305665,0,1303,0,322320,0,0,428108,449244,15233.9,21.4
PA,2021,8057540,1867361,1070658,485193,35580,1035606,792878,792878,194203,223410,46423.2,19.49
RI,2021,0,105473,0,0,0,76590,0,0,11872,14546,3736.6,25.66
SC,2021,0,350088,0,162628,0,509517,561696,561696,154382,170674,21008.8,20.22
SD,2021,174,96787,0,21589,5849,119919,0,0,308012,205338,4775.9,18.85
TN,2021,3738,413619,0,225784,893,715602,369061,369061,187194,198765,27981.4,19.57
TX,2021,12097844,4736878,229766,968401,9898665,6802215,420047,420047,1197430,1293066,161664.5,16.53
UT,2021,264055,274376,275199,276159,201927,302537,0,0,57198,67954,11113.6,19.68
VA,2021,101049,699927,283564,68603,28,789358,298458,298458,162863,189262,32132.2,19.73
VT,2021,0,13801,0,0,0,72373,0,0,37726,40260,2813.5,24.24
WA,2021,0,382807,0,36943,0,712349,88909,88909,842047,850547,25940.3,20.92
WI,2021,0,559535,0,286760,0,533212,104149,104149,200714,178716,23910.9,19.44
WV,2021,3306066,279133,2045481,633582,103791,205121,0,0,41337,48756,8754.1,19.6
WY,2021,1255606,161354,4189040,376971,486091,146812,0,0,101217,91943,5015.9,17.32
US,2021,42914551,31655918,11642632,10547764,23372153,35251979,8128952,8128952,12303043,12139977,1317098.4,19.99
